Date	Volume	Movie Name
2015/3/11	0	第七傳人
2015/3/12	2	第七傳人
2015/3/13	2	第七傳人
2015/3/14	0	第七傳人
2015/3/15	0	第七傳人
2015/3/16	1	第七傳人
2015/3/17	0	第七傳人
2015/3/18	2	第七傳人
2015/3/19	0	第七傳人
2015/3/20	0	第七傳人
2015/3/21	0	第七傳人
2015/3/22	3	第七傳人
2015/3/23	2	第七傳人
2015/3/24	2	第七傳人
2015/3/25	5	第七傳人
2015/3/26	4	第七傳人
2014/10/10	0	瞞天殺機
2014/10/11	3	瞞天殺機
2014/10/12	19	瞞天殺機
2014/10/13	5	瞞天殺機
2014/10/14	0	瞞天殺機
2014/10/15	5	瞞天殺機
2014/10/16	0	瞞天殺機
2014/10/17	4	瞞天殺機
2014/10/18	0	瞞天殺機
2014/10/19	0	瞞天殺機
2014/10/20	0	瞞天殺機
2014/10/21	0	瞞天殺機
2014/10/22	0	瞞天殺機
2014/10/23	0	瞞天殺機
2014/10/24	2	瞞天殺機
2014/10/25	0	瞞天殺機
2014/10/26	0	瞞天殺機
2014/10/27	10	瞞天殺機
2014/10/28	9	瞞天殺機
2014/10/29	0	瞞天殺機
2014/10/30	1	瞞天殺機
2014/10/31	0	瞞天殺機
2014/11/1	0	瞞天殺機
2014/11/2	1	瞞天殺機
2014/11/3	1	瞞天殺機
2014/11/4	0	瞞天殺機
2014/11/5	0	瞞天殺機
2014/11/6	0	瞞天殺機
2014/11/7	0	瞞天殺機
2014/11/8	0	瞞天殺機
2014/11/9	0	瞞天殺機
2014/11/10	0	瞞天殺機
2014/11/11	1	瞞天殺機
2014/11/12	0	瞞天殺機
2014/11/13	0	瞞天殺機
2014/11/14	0	瞞天殺機
2014/11/15	0	瞞天殺機
2014/11/16	0	瞞天殺機
2014/11/17	0	瞞天殺機
2014/11/18	6	瞞天殺機
2014/11/19	0	瞞天殺機
2014/11/20	1	瞞天殺機
2014/11/21	0	瞞天殺機
2014/11/22	0	瞞天殺機
2014/11/23	0	瞞天殺機
2014/11/24	0	瞞天殺機
2014/11/25	0	瞞天殺機
2014/11/26	1	瞞天殺機
2014/11/27	3	瞞天殺機
2014/11/28	5	瞞天殺機
2014/11/29	0	瞞天殺機
2014/11/30	2	瞞天殺機
2014/12/1	3	瞞天殺機
2014/12/2	1	瞞天殺機
2014/12/3	0	瞞天殺機
2014/12/4	0	瞞天殺機
2014/12/5	6	瞞天殺機
2014/12/6	3	瞞天殺機
2014/12/7	3	瞞天殺機
2014/12/8	2	瞞天殺機
2014/12/9	7	瞞天殺機
2014/12/10	6	瞞天殺機
2014/12/11	2	瞞天殺機
2014/12/12	4	瞞天殺機
2014/12/13	9	瞞天殺機
2014/12/14	7	瞞天殺機
2014/12/15	7	瞞天殺機
2014/12/16	7	瞞天殺機
2014/12/17	16	瞞天殺機
2014/12/18	3	瞞天殺機
2014/12/19	9	瞞天殺機
2014/12/20	4	瞞天殺機
2014/12/21	4	瞞天殺機
2014/12/22	10	瞞天殺機
2014/12/23	23	瞞天殺機
2014/12/24	3	瞞天殺機
2014/12/25	5	瞞天殺機
2014/12/26	12	瞞天殺機
2014/12/27	17	瞞天殺機
2014/12/28	35	瞞天殺機
2014/12/29	23	瞞天殺機
2014/12/30	24	瞞天殺機
2014/12/31	17	瞞天殺機
2015/1/1	5	瞞天殺機
2015/1/2	15	瞞天殺機
2015/1/3	11	瞞天殺機
2015/1/4	5	瞞天殺機
2015/1/5	3	瞞天殺機
2015/1/6	3	瞞天殺機
2015/1/7	18	瞞天殺機
2015/1/8	4	瞞天殺機
2015/1/9	9	瞞天殺機
2015/1/10	2	瞞天殺機
2015/1/11	1	瞞天殺機
2015/1/12	6	瞞天殺機
2015/1/13	5	瞞天殺機
2015/1/14	3	瞞天殺機
2015/1/15	2	瞞天殺機
2015/1/16	5	瞞天殺機
2015/1/17	4	瞞天殺機
2015/1/18	2	瞞天殺機
2015/1/19	4	瞞天殺機
2015/1/20	0	瞞天殺機
2015/1/21	4	瞞天殺機
2015/1/22	2	瞞天殺機
2015/1/23	2	瞞天殺機
2015/1/24	4	瞞天殺機
2015/1/25	27	瞞天殺機
2015/1/26	0	瞞天殺機
2015/1/27	1	瞞天殺機
2015/1/28	0	瞞天殺機
2015/1/29	1	瞞天殺機
2015/1/30	5	瞞天殺機
2015/1/31	2	瞞天殺機
2015/2/1	4	瞞天殺機
2015/2/2	1	瞞天殺機
2015/2/3	2	瞞天殺機
2015/2/4	1	瞞天殺機
2015/2/5	0	瞞天殺機
2015/2/6	0	瞞天殺機
2015/2/7	2	瞞天殺機
2015/2/8	1	瞞天殺機
2015/2/9	3	瞞天殺機
2015/2/10	1	瞞天殺機
2015/2/11	2	瞞天殺機
2015/2/12	1	瞞天殺機
2015/2/13	0	瞞天殺機
2015/2/14	1	瞞天殺機
2015/2/15	1	瞞天殺機
2015/2/16	1	瞞天殺機
2015/2/17	1	瞞天殺機
2015/2/18	2	瞞天殺機
2015/2/19	0	瞞天殺機
2015/2/20	0	瞞天殺機
2015/2/21	2	瞞天殺機
2015/2/22	3	瞞天殺機
2015/2/23	4	瞞天殺機
2015/2/24	3	瞞天殺機
2015/2/25	1	瞞天殺機
2015/2/26	18	瞞天殺機
2015/2/27	21	瞞天殺機
2015/2/28	23	瞞天殺機
2015/3/1	36	瞞天殺機
2015/3/2	0	瞞天殺機
2015/3/3	3	瞞天殺機
2015/3/4	1	瞞天殺機
2015/3/5	0	瞞天殺機
2015/3/6	2	瞞天殺機
2015/3/7	2	瞞天殺機
2015/3/8	1	瞞天殺機
2015/3/9	2	瞞天殺機
2015/3/10	1	瞞天殺機
2015/3/11	1	瞞天殺機
2015/3/12	1	瞞天殺機
2015/3/13	0	瞞天殺機
2015/3/14	0	瞞天殺機
2015/3/15	4	瞞天殺機
2015/3/16	1	瞞天殺機
2015/3/17	5	瞞天殺機
2015/3/18	0	瞞天殺機
2015/3/19	0	瞞天殺機
2015/3/20	13	瞞天殺機
2015/3/21	2	瞞天殺機
2015/3/22	2	瞞天殺機
2015/3/23	1	瞞天殺機
2015/3/24	1	瞞天殺機
2015/3/25	1	瞞天殺機
2015/3/26	0	瞞天殺機
2014/10/10	9	大眼睛
2014/10/11	15	大眼睛
2014/10/12	5	大眼睛
2014/10/13	2	大眼睛
2014/10/14	4	大眼睛
2014/10/15	2	大眼睛
2014/10/16	11	大眼睛
2014/10/17	6	大眼睛
2014/10/18	5	大眼睛
2014/10/19	17	大眼睛
2014/10/20	7	大眼睛
2014/10/21	4	大眼睛
2014/10/22	3	大眼睛
2014/10/23	3	大眼睛
2014/10/24	5	大眼睛
2014/10/25	3	大眼睛
2014/10/26	1	大眼睛
2014/10/27	8	大眼睛
2014/10/28	10	大眼睛
2014/10/29	8	大眼睛
2014/10/30	4	大眼睛
2014/10/31	11	大眼睛
2014/11/1	5	大眼睛
2014/11/2	8	大眼睛
2014/11/3	3	大眼睛
2014/11/4	2	大眼睛
2014/11/5	3	大眼睛
2014/11/6	23	大眼睛
2014/11/7	3	大眼睛
2014/11/8	9	大眼睛
2014/11/9	4	大眼睛
2014/11/10	8	大眼睛
2014/11/11	4	大眼睛
2014/11/12	2	大眼睛
2014/11/13	6	大眼睛
2014/11/14	7	大眼睛
2014/11/15	5	大眼睛
2014/11/16	7	大眼睛
2014/11/17	15	大眼睛
2014/11/18	15	大眼睛
2014/11/19	7	大眼睛
2014/11/20	3	大眼睛
2014/11/21	6	大眼睛
2014/11/22	8	大眼睛
2014/11/23	12	大眼睛
2014/11/24	4	大眼睛
2014/11/25	5	大眼睛
2014/11/26	6	大眼睛
2014/11/27	14	大眼睛
2014/11/28	4	大眼睛
2014/11/29	13	大眼睛
2014/11/30	8	大眼睛
2014/12/1	6	大眼睛
2014/12/2	6	大眼睛
2014/12/3	14	大眼睛
2014/12/4	7	大眼睛
2014/12/5	27	大眼睛
2014/12/6	17	大眼睛
2014/12/7	3	大眼睛
2014/12/8	30	大眼睛
2014/12/9	41	大眼睛
2014/12/10	14	大眼睛
2014/12/11	7	大眼睛
2014/12/12	13	大眼睛
2014/12/13	13	大眼睛
2014/12/14	25	大眼睛
2014/12/15	20	大眼睛
2014/12/16	13	大眼睛
2014/12/17	5	大眼睛
2014/12/18	20	大眼睛
2014/12/19	10	大眼睛
2014/12/20	12	大眼睛
2014/12/21	14	大眼睛
2014/12/22	14	大眼睛
2014/12/23	14	大眼睛
2014/12/24	10	大眼睛
2014/12/25	21	大眼睛
2014/12/26	46	大眼睛
2014/12/27	35	大眼睛
2014/12/28	29	大眼睛
2014/12/29	16	大眼睛
2014/12/30	70	大眼睛
2014/12/31	33	大眼睛
2015/1/1	10	大眼睛
2015/1/2	28	大眼睛
2015/1/3	10	大眼睛
2015/1/4	8	大眼睛
2015/1/5	14	大眼睛
2015/1/6	38	大眼睛
2015/1/7	15	大眼睛
2015/1/8	37	大眼睛
2015/1/9	137	大眼睛
